,text_id,text,task_1,task_2
270,hasoc_de_271,"'FRAU MERKEL HAT DAS BLUT MEINES SOHNES AN DEN HÄNDEN“. Diesen Satz sollte man in den Stein der Kaiser-Wilhelm-Gedächtniskirche meißeln. Groß genug, dass der Staatsbischof ihn niemals vergisst. Eine solche Predigt ist wie blanker Hohn.   
",0,NONE
3707,hasoc_de_3708,"USER Ob das wieder die Natur ist mag dahingestellt bleiben.Homosexualität gibt’s seit Anbeginn der Menschheit. Mal mehr mal weniger verpönt.Mir ist es egal zu welchem Geschlecht sich der einzelne hingezogen fühlt,wenn es nicht in der Öffentlichkeit provokant und zurSchau gestellt wird",0,NONE
3618,hasoc_de_3619,USER So fingen die meisten Schließungen an....,0,NONE
3391,hasoc_de_3392,"
",0,NONE
720,hasoc_de_721,"Abschlussbericht Relotius. Spiegel hat 60 Geschichten z.T. frei erfunden. Wenn die keinen bösen „Rechten“ fanden, wurde eben einer erfunden. Das „Sturmgeschütz der Demokratie“ hat die Wahrheit sturmreif geschossen.  Haltungsjournalismus - immer weiter. 
",0,NONE
3097,hasoc_de_3098,"... es ist die schönste Rose für  Patrioten, teilt sie, wo Ihr könnt, zum Wohl unseres Vaterlandes  ... 
",0,NONE
3250,hasoc_de_3251,"Mittenwald: Syrer schleust per Auto einen Syrer und drei minderjährige Iraker ein, von denen einer vermutlich an Windpocken erkrankt ist Einreise  
",0,NONE
463,hasoc_de_464,"❝Machen Sie sich mal ehrlich - warum kommt das genau eine Woche vor der Europawahl2019?❞  AfD-Spitzenkandidat USER stellt bei AnneWill USER USER die entscheidende Frage!  Strache EP2019  Meuthen  EUWahl Ibizagate Oesterreich Neuwahlen 
",0,NONE
1820,hasoc_de_1821,"ob die och in meinem Trabi mitfährt 
",0,NONE
564,hasoc_de_565,"Islamzentrum in München: Projekt gescheitert, weil Gelder fehlen - Shit happens!  
",0,NONE
3633,hasoc_de_3634,"USER Immerhin gibt die AfD Berlin zu, dass sie selber die falschen Schlüsse ziehen  ob man damit jetzt gleich werben soll, ist natürlich die Frage.",0,NONE
1566,hasoc_de_1567,USER DieVereintenIrren oder  DieVereinigtenVerwirrten,0,NONE
3691,hasoc_de_3692,"USER Der Bundespräsident hatte nicht vor, sich mit Honks zu unterhalten.",0,NONE
2452,hasoc_de_2453,".USER in der Wahrnehmung des iranischen Regimes: „Jawan“ – eine Zeitung der Revolutionsgarden – veröffentlicht anlässlich seiner Iranreise eine antisemitische Karikatur des deutschen Außenministers. 
",0,NONE
736,hasoc_de_737,"Energiewende-Lüge verteuert den Strom um 114 %! Bezahlen alle, auch die Ärmsten und Rentner! afdwählen 
",0,NONE
410,hasoc_de_411,"Vergewaltigung: Polizei nimmt 19-jährigen Schüler fest (Ganz unten im Text steht dann: 'Der 19-jährige Afghane wurde noch am Montag dem Ermittlungsrichter beim Amtsgericht Augsburg vorgeführt.') 
",0,NONE
3751,hasoc_de_3752,USER USER Man sollte immer den nötigen Respekt vor anderen haben. Die wichtigste Frage ist eher: ist so ein brauner Abschaum wie du würdig als Mensch wahrgenommen zu werden ?,1,HATE
2651,hasoc_de_2652,"Der einzige Vorteil dieser kassiererlosen Supermarktkassen: man kann ganz in Ruhe passend bezahlen und dem Roboter drei Pfund Pfennigmünzen in den Rachen werfen, ohne dass mich jemand bös anschaut.",0,NONE
1800,hasoc_de_1801,"Sandwich mal anderes     ....;;......man wird sich wohl dran gewöhnen müssen !!!! 
",1,PRFN
134,hasoc_de_135,"Die Fakten zum Gästehaus der Bundesregierung Schloss Meseberg   - In 1461 Tagen nur an 32 Tagen genutzt   - In 1461 Tagen Unterhaltskosten von 4,7 Millionen  - In 1461 Tagen Objektschutzkosten 15,4 Millionen   - Kosten in 3 Jahren etwa 20 Millionen Euro     
",0,NONE
869,hasoc_de_870,"Berlin: Mann mit Messer verletzt, weil er Drogen ablehnte? 
",0,NONE
1973,hasoc_de_1974,"USER USER Stasifrau Kahane funktioniert nicht mehr? 
",0,NONE
2974,hasoc_de_2975,"USER Der wird von der Berliner SPD gebraucht, um Gefährder zu deradikalisieren.",0,NONE
1340,hasoc_de_1341,"Die AfD erhält dubiose Unterstützung von einer weltweiten Armee unechter Facebook-Konten, die AfD Beiträge tausendfach weiterverbreiten. Ist die AfD involviert? Europawahl  
",0,NONE
3610,hasoc_de_3611,"USER USER logisch, die Ernährungsapostel predigen ja stets, wie ungesund und klimaschädlich Kebab ist.",0,NONE
2057,hasoc_de_2058,"'Während in Berlin Chaos herrscht, der große Posten-Reigen weiter getanzt wird, konstruktive Politik weiterhin blockiert wird, häufen sich in Deutschland weiter die Einzelfälle, wie man dieser Karte entnehmen kann.'  
",0,NONE
315,hasoc_de_316,"Gelsenkirchens neue Aufgabe: Rettet Ückendorf    Die einst prächtigen Gründerzeitfassaden spiegeln den Niedergang der Bochumer Straße im Gelsenkirchener Stadtteil Ückendorf wider. 
",0,NONE
1584,hasoc_de_1585,"Unser Deutschland lassen wir uns nicht von unserem Regime stehen  Umvolkung 
",0,NONE
2347,hasoc_de_2348,"Zwangsheirat und Vergewaltigung - diese Unkultur fördern Linksverblendete und Multi-Kulti-Klatscher in Deutschland, inszenieren andererseits aber die übertriebene metoo-Kampagne. Was für linke Heuchelei! AfD Poggenburg    
",1,HATE
1235,hasoc_de_1236,"Forever young: Unbegleiteter 'Minderjähriger' entpuppt sich als 47-Jähriger!    
",0,NONE
1593,hasoc_de_1594,"Flüchtlinge begrabschen Kinder in Essener Freibad 
",0,NONE
1298,hasoc_de_1299,"
",0,NONE
3505,hasoc_de_3506,"USER  Hi. Wollte Bescheid sagen, weil ich beim Herumsurfen gesehen habe,  dass @ 8694sundance + @ JustNobody2018  Dich od. Deine Tweets bei Twitter Support melden, sich anschließend  bei Erfolg (Löschung od. Sperrung) mit   Hetzlichen Dank abklatschen --&gt;am besten Blockieren 
",0,NONE
2242,hasoc_de_2243,"Das sind übrigens die Herrschaften, die der AfD aus „Gewissensgründen“ keine Erste-Hilfe-Kurse anbieten konnten.     
",0,NONE
170,hasoc_de_171,"Miesbach: Weil 10 Cent zum Bezahlen fehlen, schlägt eine Afrikanerin der Kassiererin mit dem Ellenbogen ins Gesicht, beißt eine Polizistin durch den Handschuh blutig und spuckt - die Täterin ist schon in der Vergangenheit durch Aggressivität aufgefallen  
",0,NONE
1022,hasoc_de_1023,"Deutsches Mädchen: Spieglein, Spieglein an der Wand – Sylvia Stolz erneut inhaftiert! 
 
",0,NONE
2229,hasoc_de_2230,"Der kleine Programmdirigent der Mainstreammedien; der ADS ler wittert wieder Ungemach von 'rächts'. Vorsicht vor kleinen Männern sagte mir ein älterer Kollege; wie recht er doch hat. 
",0,NONE
1419,hasoc_de_1420,"Klimakompetenz vom Original. Annalena Baerbock bei Illner: „Deutschland hat pro-Kopf Emission von 9 Gigatonnen pro Einwohner.“ Das wären 9 Milliarden Tonnen pro Kopf, richtig sind 9 Tonnen. USER oft im Irrtum, nie im Zweifel.",0,NONE
1454,hasoc_de_1455,"Nach der Bundespressekonferenz am Montag in Berlin äußerte sich USER zum Ergebnis seiner Partei bei der Europawahl2019 und blickte bereits nach vorn. Der AfD-Bundessprecher und Spitzenkandidat zieht mit einem starken Team nach Brüssel:   
 
",0,NONE
188,hasoc_de_189,"Och Gottchen, jetzt bezeichnen blinde Bessermenschen und MigrantInnen, die komischerweise nicht in ihren 'frauenfortschrittlichen' Heimatländern leben wollen, Alice Schwarzer als 'Nazi' weil sie vor radikaler Religion warnt.",0,NONE
12,hasoc_de_13,"Kapazitäten im ZDF und zur Eurowahl: Den Islam gibt es erst seit dem 7. Jahrhundert, aber Frans Timmermans, der Kommissionspräsident werden will, meint, dass der Islam seit 2000 Jahre zu Europa gehört. Keinen stört's, das Publikum klatscht. Pappnasen 
",0,NONE
1446,hasoc_de_1447,"AfD verschiebt offenbar Sonderparteitag zur Rente 
 AfD Rente",0,NONE
351,hasoc_de_352,"War in Hamburg, jetzt wieder Berlin. Unsere einst schönen Großstädte werden zu Ghettos, in denen man kein Wort versteht. Was noch das Harmloseste ist.",0,NONE
2029,hasoc_de_2030,"Was ich heute in der ‚Thüringer Allgemeinen‘ lesen musste, ist erschreckend und widerwärtig zugleich. Der Artikel lässt tief in die finsteren Verhältnisse der feinen ‚linken Erfurter Gesellschaft‘ blicken. (1/…)    
",0,NONE
414,hasoc_de_415,"***  Breaking ***    Drittes Geschlecht in Bayern vom Aussterben bedroht!!!    Nur noch wenige Exemplare im Reservat Nürnberg gesichtet. (Bild: Shmul Weiszbrod) 
",0,NONE
3491,hasoc_de_3492,"USER  Keine Aktivität seit 4.5.?  Wollte Bescheid sagen: Beim Surfen gesehen, dass  @ NoWehrMUC  @ Jaxxon2905  @ 8694sundance  @ JustNobody2018  Deine Tweets bei @ TwitterSupport melden. Anschließend bei Erfolg  (Löschung) auf @ HetzlichenDank veröffentl.  --&gt;am besten Blockieren!",0,NONE
2440,hasoc_de_2441,"GEHEIMAKTION und weitere KNALLER! 
 
",0,NONE
2862,hasoc_de_2863,"Grüne mit ihrer Klimahysterie sind wie Frösche im Nachbarteich. Sie sind laut, sie nerven jeden, mit ihnen kann man nicht diskutieren, sie haben keine Lösungsansätze und sie sind grün.",1,OFFN
238,hasoc_de_239,"Was USER wirklich passiert ist:  'Schon wieder: Hab' gerade eine  hübschen blonde Lufthansa-Stewardess gesehen! Hab' mich gefragt, warum sie vonhier aussieht, also so wie es richtigerweise weltweit alle mit 'deutsch' assoziieren - und ich nicht.! 
",0,NONE
174,hasoc_de_175,"Die ganzen naiven Bessermenschen und 'refugee' welcome Schreier mit Migrationshintergrund sollten in ihren Heimatländern verkünden, dass man unbegrenzt Migranten aufnehmen sollte. Bitte lasst mein Heimatland, was auch das meiner Vorfahren ist, in Ruhe!  HauAbGesetz",0,NONE
3151,hasoc_de_3152,"USER Das kann man ja nicht mal mehr mit zu viel Schnapps erklären, wie weit ideologische Spinnereien doch gehen können.",0,NONE
3373,hasoc_de_3374,"Wer bei der Edelsteakhaus-Kette „Hohoffs 800° in Hagen oder Hamm gerne Essen gehen wollte, steht nun vor verschlossener Türe  die Gastronomie hat Insolvenz angemeldet wegen Pachtrückständen in knapp sechsstelliger Höhe  futschi  
",0,NONE
2517,hasoc_de_2518,"Eine USER die Politik für ganz normale lohnabhängige Schonlängerhierlebende macht, statt sich beim Wählermilieu anderer Parteien anbiedern zu wollen -- das wär's.",0,NONE
3737,hasoc_de_3738,USER ,0,NONE
2643,hasoc_de_2644,"Naja und wer in Frankfurt (gerne bisschen dezentraler Richtung Stadtrand mit S-Bahnanbindung) eine hundefreundliche Wohnung (ab 60m2) mit Balkon oder ggf. Garten rumliegen hat, naja ihr wisst schon.  Bonuspunkte wenn sie nicht 4000€ kalt für 60m2 kostet hehehe.  
",0,NONE
2279,hasoc_de_2280,"Ich kann da kein einziges falsches Wort entdecken: Alles goldrichtig und auf den Punkt! Chapeau! 
",0,NONE
2077,hasoc_de_2078,"Von uns allen durch GEZ alimentierter Kasper + Hetzer Jan Böhmermann, den USER gerade als Twitter 'Schreiberling' einsetzt, verlangt 'Trolle' zu blocken! Ich gehe sogar noch weiter: blockt Trolle + Trottel - also USER + USER   BlockDieZeit",1,OFFN
2682,hasoc_de_2683,"Der mutmaßliche Kinderschänder ist schon wieder auf freiem Fuß!    Einer Freundin hatte Lena vergangene Woche in der Schule erzählt, was Dimitri D. ihr regelmäßig antut. Voller Angst fragte Lena: „Ist das normal? Macht dein Vater das auch?“   
",0,NONE
2185,hasoc_de_2186,"In Deutschland ist der Wurm drin – und die Made!…Berlin: GG-feindlich, verlogen, antideutsch…. 
 
",0,NONE
1228,hasoc_de_1229,"Ende des Grundrechtes der Versammlungsfreiheit in Dänemark: Polizei verbietet Anti-Islam-Demo, weil man die Rache der Muslime fürchtet!  
 Kopenhagen",0,NONE
2754,hasoc_de_2755," Wenn schon Sch***e, dann aber auch mit Schwung!  Sind für Wahlkampfhilfe 2021 immer dankbar! 
",0,NONE
3370,hasoc_de_3371," Schweine- und Milchviehhalter finanziell angeschlagen  „Unsere Landwirtschaft ist pleite. Rund ein Drittel der Betriebe steckt in den ‚roten Zahlen‘ oder ist unmittelbar vom Bankrott bedroht“, sagt landwirtschaftliche Unternehmensberaterin  futschi  
",0,NONE
2403,hasoc_de_2404,"Mülheim, Sa, 29.12. 20:30: ~ 40 Jähriger, 1,85 m, schlank, rote Jacke, warf ca. 10 Jahre alte Hündin (max. 40 cm hoch, hellbraunes+wenig Fell, orangene Leine+Halsband) von einer Brücke nahe Schlossbrücke in die Ruhr. Das arme Tier ertrank! Wer kennt ihn?   
",0,NONE
3568,hasoc_de_3569,USER Bra.,0,NONE
1580,hasoc_de_1581,"USER So lange jemand Grüne Bürgerlich nennt, halte ich in Deutschland alles für möglich!",0,NONE
3468,hasoc_de_3469,"Von 2006 bis 2017 wurden sie  Staatsbürger:  -216.000 Marokkaner  -189.000 Albaner  -70.000 Rumänen  -42.000 Inder  -37.00 Bengalen  -34.000 Tunesier  -33.000 Pakistani  -32.000 Mazedonier  -26.000 Brasilianer  da fehlen sehr viele Afrikan. die heute Bild prägen  
",0,NONE
1128,hasoc_de_1129,"Von wegen 'Korruption'.  Ich hätte der blonden Russin im kriminell-kurzen Mini nach dem x-ten Cocktail auch so einiges versprochen!  :)  Außerdem betonte Strache mehrfach, nichts Illegales zuzulassen. (Wird medial unterschlagen.)  
 AnneWill 
",0,NONE
1886,hasoc_de_1887,"Am Stimmzettel zur EUWahl steht USER auf Listenplatz 42.  Was würden die EUzis sagen, wenn wir ihn per Vorzugsstimme ins EU-Parlament wählen?    Dafür wären nur etwa 25.000 Vorzugsstimmen nötig. ;)  
 
",0,NONE
3498,hasoc_de_3499,"USER  Hi. Wollte Bescheid sagen, da ich beim Herumsurfen gesehen habe, daß  @ Jaxxon2905 @ 8694sundance @ JustNobody2018  Deine Tweets bei TwitterSupport melden, sich anschließend bei Erfolg  (Löschung od. Sperrung) mit  HetzlichenDank abklatschen  --&gt;am besten Blockieren 
",0,NONE
3387,hasoc_de_3388," ! Glückwunsch aus      lieber USER  zum Einzug ins Finale RG19  --&gt;  Viel Glück beim Kampf um den Pokal !!!  FrenchOpen RolandGarros ATP USER   
",0,NONE
1258,hasoc_de_1259,"Wenn Du deine Miete nicht mehr zahlen kannst, dann kauf dir doch einfach Aktien von Deutsche Wohnen und beute dich selbst aus ",0,NONE
2988,hasoc_de_2989,USER Das Leben ist eine große Party.     Der Aufschlag in der Realität könnte heftig sein.,0,NONE
2674,hasoc_de_2675,"...das ist der Staat, mit dem sich Merkel, Maas &amp; Co. anscheinend lieber verbünden, als mit Russland, Ungarn, Italien oder USA! Iran 
",0,NONE
45,hasoc_de_46,"Ich drücke USER jetzt erst recht die Daumen - dafür, dass er als erster AfD-Politiker das Amt des Oberbürgermeisters bekleidet. Dass er dies im Sinne der Bürger von Görlitz ausüben wird, daran besteht nicht der geringste Zweifel.  Wippel   
 
",0,NONE
3336,hasoc_de_3337,"Mitarbeiter bei Kaufhof trauen dem Management nicht mehr über den Weg  fragen sich, wie es mit einem Verkäufer auf 1.250 qm2 Fläche noch funktionieren solle  es wollen mehr freiwillig gehen, als die 1000 abzubauenden Stellen  futschi ist das Vertrauen  
",0,NONE
183,hasoc_de_184,"Ich dachte ja, ich hätte schon jeglichen bessermenschlichen Schwachsinn gehört, aber neulich im Cafe einer Unibibliothek: 'Ist es möglich Organe nur an 'refugees' zu spenden?'  Ich mache mir langsam große Sorgen wegen des grassierenden Wahnsinns.",0,NONE
3773,hasoc_de_3774,USER ... wenn es nicht zum weinen wäre.,0,NONE
2764,hasoc_de_2765,"Die 52-jährige Mutter hat mehr Ahnung als die ganze Berliner Polizei zusammen.    Quelle Teiltext: Bild.de &amp; Bunte.de    Sorry, dass der überhebliche Idiot euch wieder auf den Sack geht – nicht allen.  findbecci, sucht endlich nach einer lebenden rebecca an den richtigen Orten. 
",0,NONE
1161,hasoc_de_1162,"In Gotha wurde ein Polizist von einem Mann niedergeschossen.  Gegen den Mann lagen mehrere Haftbefehle vor. Nähere Hintergründe zum Mann erfährt man von der USER nicht.  
",0,NONE
1295,hasoc_de_1296,"Lieber nichtregieren als 'falsch'    Lieber regieren als nicht    Lieber 'Asylindustrie' als Grundrechte    Lieber 'Hetzjagden' als Rechtsextreme    Lieber 'Schulschwänzer' als engagierte Jugend    Lieber 'Meinungsmache“ als Sachthemen    USER USER USER USER USER    Word! 
",0,NONE
139,hasoc_de_140,"Teilen Teilen Teilen     Bundesweit starten Migranten, Juden und Homosexuelle einen Gegenprotest. Zuvor hatte 'Hollywood' dazu aufgerufen den AfD OB-Kandidaten für Görlitz nicht zu wählen.  Sebastian Wippel    GörlitzistschlauGörlitzwähltblau  USER  
",0,NONE
1721,hasoc_de_1722,"Huch, Kim Jong Merkel, der Zonenlurch. 
",1,OFFN
912,hasoc_de_913,"USER Ist das alles, was Sie an konstruktiven Beiträgen im Bundestag zu bieten haben? Mann oh Mann. Das ist so platt, das kann jedes 5-jährige Kind. Sorry, aber da geht mir einfach der Hut hoch. Im Bundestag und nicht auf dem Spielplatz!",1,OFFN
309,hasoc_de_310,USER USER „Falsche Propheten werden in großer Zahl auftreten und viele verführen.“  Matthäus 24:11 HFA,0,NONE
266,hasoc_de_267,"Oh nein, Tatort wieder total realitätsfern und mit Erziehungsgedanken:  'Reichsbürger'! Hey liebe USER Autoren, könntet ihr mal bitte zum Hauptbahnhof fahren (wahlweise: Gelsenkirchen), wo vorhin gerade Türken+Syrer randaliert haben, um mal echte deutsche Tatorte zu sehen? 
",0,NONE
1338,hasoc_de_1339,"USER 
",0,NONE
3168,hasoc_de_3169,"Seehofer USER : Kein Land kann unbegrenzt Fluechtlinge aufnehmen. So kann keine vernünftige Integration gelingen. Menschen ohne Bleiberecht müssen unser Land verlassen. Konsequente Durchsetzung des Rechts stärkt das Vertrauen in den Rechtsstaat. migration Migrationspakt 
",0,NONE
495,hasoc_de_496,"Der deutsche Rechtsstaat kann so knallhart und grausam penibel sein... wenn es um Falschparker, Steuererklärungen oder GEZ-Gebühren geht.",0,NONE
2462,hasoc_de_2463,"Dieser Warnhinweis des Auswärtigen Amtes kommt praktisch zeitgleich mit Kramp-Karrenbauers Forderung nach einer Klarnamenpflicht im Netz.   Ein weiteres Beispiel, weshalb man das Recht haben muss, im Netz anonym zu bleiben. Meinungsfreiheit Neuland USER Erdogan 
",0,NONE
2650,hasoc_de_2651," 
",0,NONE
