,de,ch_dialect
22912,Wilde und unregelmässig gepflanzte Sträucher bieten vielen Tieren Schutz und Lebensraum.,Wildi und unregelmässig pflanzti Strücher biete vielne Tier Schutz und Läbensruum.
3176,Große Steine werden auch «Felsen» oder «Felsbrocken» genannt.,"Grossi Schteinä wärdä o ""Feusä"" oder ""Feusbrockä"" gnennt."
3416,Seit vier Jahren hat Mona Vetsch einen Schrebergarten.,Sit vier Jahr het d Mona Vetsch ä Schrebergartä.
13976,Die jüngsten Entwicklungen in der Unternehmensbesteuerung lassen allerdings den relativen Vorteil der Zentralschweizer Kantone schrumpfen.,Da jüngsta Entwickliga in dr Unternehmensbestüürig löhn allerdings dr relativi Vorteil vu da Zentralschwizer Kantön schrumpfa.
29723,Aber es gehe auch um Medizin.,Aber es gieng au om Medizin.
15249,"Dann könnte man versuchen, Rinder so zu verändern, dass sie den Erreger nicht mehr in sich tragen.","Denn könnt ma probiara, Rinder so z verändera, dass sie dr Errger nüm i sich trägen."
14027,"Dies betreffe die Literflaschen, welche neu nur noch 750 Milliliter fassen.","Das betreffi d Literfläscha, welli neu nur no 750 Milliliter fassen."
7939,"Ich bin nur so gerannt, um dich einzuholen.",I bin nur so gsprunga zum di iihola.
6296,Sie liess für 10'000 Franken Stammzellen ihrer drei Kinder in Genf bei Cryo-Save als Vorsorge für die Zukunft einlagern.,Sie het sich für 10'000 Franka Stammzella vu ihrna drei Kinder in Genf bi Cryo-Save als Vorsorg für d Zuakunft iilagera loh.
7307,"Am frühen Morgen -5 Grad, Höchsttemperatur 0 Grad.","Am früaha Morga -5 Grad, Höchsttemperatur 0 Grad."
9147,1973 veröffentlichte Elton John das Album Goodbye Yellow Brick Road.,1973 het dr Elton John ds Album Goodbye Yellow Brick Road veröffentlicht.
2556,"Ich weiß, dass ich schnarche, aber nie so laut, dass ich damit Frauen verjage.","I weiss, I schnarch, aber nie so luut, dass i demit Fraue vojag."
22544,Er arbeitet schnell also wird er morgen bestimmt fertig sein.,Är schafft schnäll also ischer moru sicher fertig.
13208,"Ich denke, das würde einige von ihnen motivieren, sich noch stärker zu engagieren.","I denka, das wür einigi vu ihna motiviara, sich no stärker z engagiera."
7137,Ich bin von oben rein gekommen.,I bin vu oba ina koh.
16290,Als Jugendlicher wollte Besson allerdings noch Meeresbiologe werden.,Als Jugendliche hät de Besson aber no wele Meeresbiolog werde.
8869,"Diese verkauften sich schlecht und die Band überlegte, sich aufzulösen.","Dia hend sich schlecht verkauft und d Band het überleit, sich ufzlösa."
11641,"Der eine steht korrekterweise dort, und zwei kommen sofort nach vorne.",Dr eini stoht korrekterwiis döt und zwei kömmen sofort füra.
15998,"Zum Teufel, dachte ich verbittert, dann betrinke ich mich eben.","Zum Tüfel, hani verbittered dänkt, dänn betrinki mi hald."
828,Die Zahl an Todesfällen liegt beim neuen Virus weit niedriger.,dZahl a Todesfäll liit bim neue Virus vill tüüfer.
22875,Diese Anordnung mit zwei übereinander liegenden Gelenkwellen bedingte eine eigenartige Konstruktion des Drehgestelles.,Die Ahordnig mit zwei überenander liigende Glänkwälle het ä eigeartigi Konstruktion vom Dreihigsgstell bewirkt.
28135,Ich treffe dich am Arm wenn du jetzt nicht still bist.,"Ich treffe dech am Arm, wend jetzt ned ruehig besch."
3459,Aber Bauern sind nicht Naturgärtner.,Aber Purä si nid Naturgärtner.
845,"Als nach einigen Tagen eine Verschlechterung seines Zustandes eintrat, habe der Arzt ihn in die Praxis bestellt.","Wo noch einige täg e Voschlechterig vo sim Zuestand iitrette isch, heg de Arzt ihn id Praxis bstellt."
11747,Das bringt anschliessend die Gemeinden in die Zwickmühle.,Das bringt aschlüssend d Gmeinda in d Zwickmühli.
2474,Meredith rast aus seinem Büro zu seinem Wagen.,de Meredith rast us sim Büro zu sim Wage.
1663,Die überraschenden Esten und Österreich komplettierten das Podest.,die überaschende Este und Österrich hends Podest komplettiert.
19794,Die Blätter werden nur frisch verwendet und schmecken nach Knoblauch.,D Bletter werded nur frisch brucht und schmöcked nach Chnoblauch.
23440,Neue invasive Muscheln wurden damit schon frühzeitig aufgespürt.,Neui invasivi Muschle sind demit scho früehziitig ufgspürt worde.
5592,"Als die Situation unerträglich wird, plant eine Handvoll Männer den Ausbruch.","Wo d Situation unerträglich wird, plant a Handvoll Männer dr uusbruch."
17797,"Unzählige Firmen profitieren vom billigen Geld, Staaten sind verschuldet wie nie.","Mega vill Firme profitiered vom billige Gäld, Staate sind verschulded wie no nie."
27836,Ich improvisiere dieses Stück gerade nach meiner Laune.,Ich be das Stöck grad nach minere Lune am improvisiere.
898,Karrierestart zwischen Hightech und Tradition,Karrierestart zwüsched Hightech und Tradition.
14536,Frey hat sich zwar für die Entwicklungszusammenarbeit eingesetzt.,Dr Fey het sich zwor für d Entwickligszemmanarbet igsetzt.
25381,Einen bewussten Rechtsbruch dieser Art toleriere ich nicht.,Ä bewusste Rächtsbruch vo däre Art tolerier ich nid.
11264,In der Zeit bis zur Reformation war die Kirche der Heiligen Ursula geweiht.,In dr Ziit bis zur Reformation isch d Kircha vur Heiliga Ursula gweiht gsi.
13935,"Es sind Firmen, die ihren Sitz in der Schweiz haben und vor allem in Ausland tätig sind.","Es sind Firma, wo ihra Sitz in dr Schwiz hend und vor allem im Usland tätig sind."
9749,Ich bin in einen Kuhfladen getreten.,I bin in a Kuahtaischa tretta.
14497,"Es ist also eine private Geschichte, die aus dem Ruder läuft und den Weg in die Medien findet.","Es isch also a privati Gschicht, wo ussam Ruader lauft und dr Weg in d Media findet."
7263,Aussichten bis Montag.,Ussichta bis am Mentig.
26222,Torf wird aus Hochmooren gewonnen.,Torf werd os Hochmoore gonne.
27294,Am Samstag zum Teil sonnig.,Am Samstig esches zom Teil sonnig.
20880,"Das Wort ""Lemon Tree"" habe er gewählt, weil es gut klinge.","Z'Wort ""Lemon Tree"" heige är gwählt, wills güet tehne."
14331,Auch bei den Erneuerbaren sehe die Rechnung in der Schweiz anders aus als im benachbarten Europa.,Au bi da Erneuerbara gsächi d Rechnig ir Schwiz anders us als im benochbarta Europa.
12803,stirbt nach fast dreißigjähriger Regierungszeit.,stirbt noch fast drissigjöhriger Regiarigsziit.
15461,Klaus Ammann Aus dem globalen Aktienhandel will die Deutsche Bank ganz aussteigen.,Ussam globala Aktiahandel will die Dütschi Bank Ganz usstiega.
7773,Die explodierende Granate tötete den Wal schneller.,Dia explodiarti Granata het dr Wal schneller tötet.
4317,Das Tor beim 2:1-Auswärtssieg in Dublin von Fabio Celestini ist auch heute noch legendär.,S Goal im 2:1-Uswärtssieg in Dublin vom Fabio Celestini  isch ono hüt legendär.
10657,"Als besonders schicke Oberbekleidung galt der ungarische Dolman, eine enge Schnürjacke.","Als bsunders schicki Oberbekleidig het dr ungarischi Dolman golta, a engi Schnüarjacka."
1638,Seine eleganten Dribblings sind ein Genuss.,Sini elegante Dribblings sind en Gnuss.
26020,"Der Fall Hauert war nicht aus heiterem Himmel geschehen, er legte vielmehr einen Systemfehler offen.","De Fall Mauert esch ned os heiterem Hemmel passiert, er legi vellmeh e Systemfähler offe."
20018,"Je nach Kanton werden Leistungen von den Senioren selber getragen, welche in einem anderen Kanton die Krankenkassen decken.","Je nach Kanton wärdunt Leischtige vane Senioru sälber gitreit, wa imu andru Kanton d'Chrankukasse deckunt."
9959,Für die dafür benötigten Arbeitskräfte entstand nebenan ein Township.,Für dia drfür benötigta Arbetskräft isch nebedra an Township entstanda.
24235,"Juli/August 2019 Es war ein regelrechter Partysommer: Züri Fäscht, Street Parade, Bundesfeier, Fête des Vignerons und viel warmes Wetter.","Juli/August 2019 Äs isch ä regelrächte Partysummer gseh: Züri Fäscht, Street Parade, Bundesfiir, Fête de Vignerons und viel warms Wätter."
9239,"Sogar Aufkreuzen wäre, wenngleich mit sehr bescheidenem Erfolg, möglich gewesen.","Sogar Ufkrüza wär, obwohl im sehr bescheidenem Erfolg, möglich gsi."
22481,Die ganze Zeit rennst du herum und hilfst anderen Leuten,Di ganz Zit secklusch dü umcha und hälfusch andru Lit.
14982,Tödliche Unfälle in Schwimmbädern sind eher selten.,Tödlichi Unfäll in Schwimmbäder sind eher selta.
5708,"Gerade auch, weil es dort auf kleinem Raum viele Spezialisten gebe, die sich austauschten, wie sonst kaum wo auf der Welt.","Grad au, wills döt uf kliinem Ruum vieli Spezialista gäbi, wo sich uustuschen, wia sus kuum uf dr Welt."
25026,Auch von mobilen Anlagen zur Produktion chemischer Kampfstoffe erzählte er.,Au vo mobile Ahlage für d Produktion vo chemische Kampfstoff het är verzellt.
16029,"Meist in Italien, aber auch Russland oder Dubai.","Meistens in Italie, aber au Russland oder Dubai."
14826,"An diesen Kosten beteiligt sich die Lonza AG mit 10 Prozent, der Rest wird zwischen Bund und Kanton aufgeteilt.","An denna Kosta beteiligt sich d Lonza AG mit 10 Prozent, dr Rest wird zwüscha Bund und Kanton ufteilt."
28124,"Sie tanzt mit jedem, der dafür bezahlt.","Sie tanzt met jedem, wo deför zahlt."
26713,"Die Multikulti-Stadt am Jurasüdfuss beflügelt ihn, die Kreativität und der Ausstausch geben Auftrieb.","D'MultikultiStadt am Jurasüdfuess beflöglet ehn, d'Kreativität ond de Ustusch gänd Uftreb."
17711,"Am Sonntag und am Montag Sonne, einige Nebelbänke.","Am Sunntig und am Mäntig Sunne, es paar Näbelbänk."
10896,"Wir machten ihnen Zeichen des Danks, da wir sonst Nichts zu bieten hatten.","Miar hend ihna Zeicha vum Dank gmacht, do miar sus Nüt z büta kah hen."
8811,"Das kleine Werk zeigt Trauben, einen Pfirsich, Pflaumen und eine Fliege.","Ds klina Werk zeigt Truba, an Pfirsich, Pfluuma und a Flüga."
5392,Er umarmt sie fest.,Är umarmt si fescht.
9549,Im Inneren der Schiffe kann es über 40 Grad heiss werden.,Im Innera vu da Schiff kanns über 40 Grad heiss werda.
1486,Die Haupteinnahmequelle von Politikern stammt aus privaten Zuwendungen.,dHauptiinahmequelle vo Politiker stammt us private Zuewendige.
13327,Mit einem frechen Sprung und anschliessendem Treffer auf den Rücken seines Gegners machte Teamleader Max Heinzer den Sieg klar.,Mit nem frecha Sprung und aschlüssendem Treffer uf da Rucka vu sinem Gegner het dr Teamleader Max Heinzer dr Sieg klar gmacht.
17246,"Die Amerikaner haben es nicht geschafft, nach dem Sturz von Diktator Saddam Hussein für Ruhe und Stabilität zu sorgen.","D Amerikaner händs nöd gschafft, nachem Sturz vom Diktator Saddam Husssein für Rueh und Stabilität zsorge."
20847,"Es wird klar, dass er bald nur noch mit künstlicher Beatmung wird leben können.","Es wird klar, dasser bald nur nu mit künschtlicher Beatmig wird läbu chännu."
26567,"Dabei wird versucht, verschiedene markante Gerüche zu unterscheiden und zu benennen.","Dodebi werd versuecht, verschedeni markanti Gröcht z'onterscheide ond z'bennene."
2414,Es hatte nur leicht geschneit aber die Pisten waren bereits offen.,Es het nur biz gschneit aber dPiste sind scho offe gsi.
10223,Das Album ist sehr an die Orgelmusik von Johann Sebastian Bach angelehnt.,Ds Album isch sehr an d Orgelmusik vum Johann Sebastian Bach aglehnt.
28743,"Tatsache ist aber, dass Reynard in der Westschweiz äusserst populär ist.",Tatsach esch aber das d Reynard ede Westschwiiz sehr populär esch.
16990,"Das Kind überlebte, die Frau starb später vermutlich an Bauchfellentzündung.","S Chind hät überläbt, d Frau isch spöter vermuetlich anere Buchfällentzündig gstorbe."
10185,Die Verwaltung der für die Prüfung relevanten Nachweise wird vom dafür zuständigen Prüfungsamt vorgenommen.,D Verwaltig vur für d Prüafig relevanta Nochwiis wird vum drfür zuaständiga Prüafigsamt vorgnoh.
608,"So lassen sich Beruf, Studium und aktive Politik besser vereinbaren.","So lönd sich Bruef, Studium und aktivi Politik besser veriibare."
14966,Für eine ganze Lastwagenladung erhielt der Bauer umgerechnet 16 Franken.,Für a ganzi Lastwagaladig het dr Puur umgrechnet 16 Franka kriagt.
26574,"Sie beschuldigen wahllos Gemeindemitglieder, mit dem Teufel im Bunde zu stehen.","Sie bescholdige wahllos Gmeindemetgleder, metem Tüfel en Verbendig z'stoh."
12955,Die Plattform ist minimalistisch gestaltet und besitzt eine hohe Anzahl neuer User pro Monat.,D Plattform isch minimalistisch gstaltet und besitzt a hohi Azahl vu neua User pro Monet.
5480,"Und das sei eben ein Zeichen, dass die Windgeschwindigkeiten in den Alpentälern nochmals zunehmen würden.","Und das sig eba as Zeicha, dass dia Windgschwindigkeita in da Alpatäler nomol zuaneh würen."
19080,Bis dahin werde man die Zeit mit Provisorien überbrücken.,Bis dänn überbrücki mer d Zit mit Provisorie.
453,Zum Handwerk zählen insbesondere der Holzbau sowie Maler und Fliesenleger.,Zum Handwerch zehled bsunders de Holzbau und au Moler und Flieseleger.
16344,Der Gekielte Feldsalat kommt in Mittel- und Südeuropa und Nordafrika vor.,De Gekielti Fäldsalat chunnt in Mittel- und Südeuropa und Nordafrika vor.
3802,Daraufhin ließ er sich zum König ausrufen.,Drufabä hetersech aus Chönig la usrüefe.
10539,Der Compiler kennt die Typen ohnehin und kann diese überprüfen und es verwirrt nur den Programmierer.,Dr Compiler kennt dia Typa sowieso und kann dia überprüafa und es verwirrt nur dr Programmiarer.
21069,Er konnte mit seinem Dämpfer einen Prediger ebenso imitieren wie ein schreiendes Baby.,Är het mit schinum Dämpfer en Prediger äbuso chännu imitieru wie es höirunds Mämmi.
29970,Es ist der längste Abstand zwischen zwei Fluchtmöglichkeiten in einem deutschen Eisenbahntunnel.,Es esch de längsti Abstand zwösche zwoi Flochtmöglechkeite emene dütsche Isebahntunnel.
16884,Der Liedtext besteht aus vier Strophen und einem Refrain zu je vier Zeilen.,De Liedtext bestaht us vier Strophe und eme Refrain mit je vier Zile.
24078,Das ist auch ein Resultat von Viktor Orbans politischem Talent.,Das isch au ä Resultat vom Viktor Orban sim politische Talänt.
11602,"Ich bin jedoch nicht einverstanden mit der Abschreibung, und möchte Ihnen ganz kurz erläutern, weshalb dies so ist.","I bin aber nit iverstanda mit dr Abschriebig, und möcht Ihna ganz kurz erlütera, warum das so isch."
465,In vielen Dörfern in Lothringen beherrscht die Bevölkerung weiterhin französisch und deutsch.,I villne Dörfer i Lothringe beherrscht dBevölkerig wiiterhin französisch und dütsch.
6579,"Als Restlichtverstärker haben sich weiße Bettlaken bewährt, die in Fallrichtung der Aale ausgelegt werden.","Als Restlichtverstärker hend sich wissi Betttüacher bewährt, wo in Fallrichtig vu da Aal uusgleit werden."
25772,"Dank Weiterbildung hofft er, demnächst eine bessere Anstellung als Elektriker zu erhalten.","Dank Wieterbeldig het er ghofft, bald en besseri Astellig als Elektriker z'fende."
16170,Wie sein Vorgänger will auch Cortizo die Beziehungen zu China vertiefen.,Wie sin Vorgänger will au de Cortizo d Beziehige mit China vertüfe.
285,Der vier Meter hohe Bretterzaun zwischen Bremerhaven und Lehe verschwand.,De vier Meter höchi Bretterzuun zwüsched Bremerhave und Lehe isch voschwunde.
20397,Die Kinder sind auffallend blass und oft schon nach kleinen Anstrengungen erschöpft.,D'Chinder sind üffallend bleichi und vill scho nah chleinu Ahsträngige erschöpft.
26254,"Darum sei er aktiv geworden, zusammen mit anderen Institutionen aus dem Bereich der anthroposophischen Medizin.","Dorom escher aktiv worde, zöme met anderne Institutione osem Bereichfode anthrophobische Medizin."
21781,Grossteile der Kuppe des einst hohen Berges wurden durch Basaltabbau abgetragen.,Grossteil vaner Kuppa vam einscht hochu Bärg het mu durch Basaltabbau abgitreit.
20265,Bohrer wird ebenso mit der Prägung des Begriffs «Gutmensch» in Verbindung gebracht.,"Der Bohrer wird äbuso mit der Prägig vam Begriff ""Güetmänsch"" in Verbindig gibrungu."
21157,"Samstagvormittag etwas freundlicher, nachher tut es zu es kommt zum regnen und schneien.","Samstagvormittag ebiz fröindlicher, nacher tüets züe chunt cho rägnu und schniju."
27981,Im gleichen Atemzug hast du wohl auch über mich geschimpft.,Em gliche Atemzog hesch secher au öber mech gschompfe.
15049,"In dieser Zeit seien sie besonders anfällig, durch Schönheitsbilder in den sozialen Medien beeinflusst zu werden.","In dera Ziit sigen sie bsunders afällig, dur Schönheitsbilder in da soziala Media beiflusst z werda."
22376,Ja ich glaube jetzt habe ich das verstanden.,Ja ich glöibu jetz hani das verstandu.
8113,Sonst stürzt ihr euch noch in die Tiefe.,Sus stürzend iar eu no ind Tüüfi.
30780,Er sitzt an einem Computer.,Är setzt amene Computer.
7265,Er wird dabei vom Donner begleitet und gehört zu den Elektrometeoren.,Er wird drbii vom Donner begleitet und ghört zu da Elektrometeora.
14132,Doch noch ist das Bauwerk der Superlative die grösste überirdische Baustelle der Schweiz.,Aber no isch das Bauwerk vur Superlativa dia grösst überirdisch Baustell ir Schwiz.
23693,Oft können die Experimente dann sogar nützlich sein.,Oft könne Experimänt denn sogar nützlich sii.
5527,Wieso spart er dann mit der Marita so einen Haufen Geld?,Wieso spart er denn mit der Marita so an Huufa Geld?
1333,Aber seine Vorgänger Hu Jintao und Jiang Zemin gehörten verschiedenen Fraktionen innerhalb der Partei an.,Aber sini Vorgänger Hu Jintao und Jiang Zernin ghöred voschidene Fraktione innerhalb vo de Partei aah.
28657,Nach einem Jahr wurden die Dreharbeiten aus Geldmangel eingestellt.,Nachemene Johr send d Dreiarbeite wäge Gäldmangel igstellt worde.
22602,Und doch sitzt du jetzt hier.,Und doch sitzusch dü jetz hie.
22028,Ich mag ihre Spielphilosophie.,Ich mag ihrusch Spielphilosophie.
25802,"In seiner Privatwohnung wurden illegale Handzettel angefertigt, die unter größter Gefahr verbreitet wurden.","E sinere Privatwohnig send ilegali Handzettle ahgfertig worde, wo onter gröschter Gfohr verbreitet worde send."
30626,"Ich meine, pfusche ich da in etwas hinein, das nicht ausgestanden ist?","Ech meine, fingerlech do be Öppisem dri, wo nonig usgstande esch?"
10412,"Wie inzwischen bekannt ist, wirkte Dahl in den USA auch als Agent des britischen Geheimdienstes.","Wia inzwüscha bekannt isch, het dr Dahl in da USA au als Agent vum britischa Geheimdianst diant."
23270,1997 wurde er Chefarzt des Psychiatrisch-Psychologischen Dienstes im Amt für Justizvollzug des Kantons Zürich.,1997 isch är Chefarzt vom Psychiatrisch-Psychologische Dienst im Amt für Justitzvollzug vom Kanton Züri wordä.
12343,1868 setzte ein Blitzschlag große Teile des Dorfes in Brand.,1868 het an Blitzschlag grossi Teil vum Dorf in Brand gsetzt.
7656,Sie lernten alle fleissig und gingen nie weg.,Sie hend alli fliissig glernt und sind nia weg ganga.
954,Ein Flug zwischen Amerika und Europa ist ein Transatlantikflug.,En Flug zwüsched Amerika und Europa isch en Transatlantikflug.
17280,Der Konflikt zwischen den Kontrahenten Iran und USA wurde offen ausgetragen – auf irakischem Boden.,De Konflikt zwüsched de Kontrahänte Iran und USA isch offe ustreit worde - uf irakischem Bode.
10622,"Die Akte ergab, dass sich der Geisteszustand in den letzten Jahren massiv verschlechtert hatte.","D Akta het ergeh, dass sich dr Geisteszuastand in da letschta Johr massiv verschlechteret kah het."
17401,"Mir war bewusst, dass es nicht der ideale Zeitpunkt ist für einen Rücktritt.","Mir isch bewusst gsi, dasses nöd de ideali Zitpunkt isch füren Rücktritt."
3607,"Im Sommer 2018 wusste man aber noch nicht, welchen Stoff man da gefunden hatte.","Im Summer 2018 hetmä aber noni gwüsst, welä Schtoff mä da het gfundä."
1285,"Unterhaltung gibt's in Mediatheken, eBooks und Web-Communitys.","Unterhaltig gits i Mediatheke, eBooks und Web-Communitys."
23206,Zudem wurde er in jener Zeit in die Liechtensteiner Fussballnationalmannschaft berufen.,Zuedäm isch är in däre Ziit in d Liechtesteiner Fuessballnationalmannschaft beruefe wordä.
10070,"Um über die Deckung desselben zu verhandeln wurde, zum ersten Mal seit 27 Jahren, ein Landtag abgehalten.",Zum über d Deckig vum glicha z verhandla isch zum ersta Mol sit 27 Johr a Landtag abghalta worda.
9059,"Geometrisch trifft dies nicht zu, da eine Spirale durch einen stetig veränderten Radius definiert ist.","Geometrisch trifft das nit zua, will a Spirala dur an stetig veränderta Radius definiart isch."
995,Dies geschah zur Wiederherstellung der natürlichen Verhältnisse im State Park vor der europäischen Besiedlung.,Da isch zur Wiederherstellig vo de natürliche Vohältnis im State Park vor de europäische Besiedlig passiert.
29260,"Die ersten Modelle hatten einen Rahmen aus Messing, später wurde auf Stahl umgestellt.","Di erste Modell hend e Rahme us Messing gha, spöter esch uf Stahl omgstellt worde."
19574,"Als sie mit Riccardo allein ist, wird sie von Vorahnungen geplagt.","Wo si mitem Riccardo elei isch, wird si vo Vohrahnige plaged."
2905,"Die Bürger standen nun vor der Frage, wem von beiden sie gehorchen sollten.","D Bürger si iz vorder Fraag gschtangä, wäm vo beidä si söuä fougä."
22075,Noch beträgt die Eisdicke hier 600 bis 700 Meter.,Nu betreit d'Iischdicki hie 600 bis 700 Meter.
1332,All diese Kritik kontert der US-Präsident in gewohnter Manier.,All die Kritik kontered de US Präsident i gwohnter Manier.
16040,Hervé Rayner ist Professor für Politikwissenschaften an der Uni Lausanne.,De Hervé Rayner isch Profässer für Politikwüsseschafte ade Uni Lausanne.
20132,"Als die Situation unerträglich wird, plant eine Handvoll Männer den Ausbruch.","Wa d'Situation unerträglich chunt, plant en Handvoll Männer der Üsbruch."
12984,Währenddessen ist ihr innerer Monolog zu hören.,Währenddessa isch ihra inneri Monolog z ghöra.
5069,Sie arbeitet sehr hart für ihr täglich Brot.,Si schaffet sehr hert für ires täglechä Brot.
10804,"Außerdem wäre es eine Leichtigkeit gewesen, sie zu erreichen.","Usserdem wärs a Lichtigkeit gsi, sie z erreicha."
5192,"Sie können ruhig rauchen, ich rieche das gern, meinte Becker nachdenklich.","Dir chöit ruhig roukä, i schmöckä das gärn, het dr Becker nachdänklech gmeint."
205,Die verwendeten Systeme sind der Sozialen Software zuzurechnen.,Di vowendete System sind de soziale Software zuezrechne.
13761,Damit können die Einwohnergemeinden neu auch Kirchensteuern einziehen.,Drmit könn d Iwohnergmeinda neu au Kirchastüüra iizücha.
